Products,ProductName,CompanyName,Price
10000,Ingersoll Rand 80 Gallon Type-30 Reciprocating Air Compressor,Covanta Holding Corporation,953.64
10001,"Great Neck Saw Ra38 3/8"" Drive Forward And Reverse Ratchet",Wesco Distribution,661.87
10002,12-volt Lith-ion Drill W/ Bonus Case & 150-piece Socket Set,Advance Auto Parts,455.88
10003,Eclipse 900-206 Helping Hands With Solder Iron Holder - 2.5x,Nustar Energy,447.56
10004,"Rockwell Shopseries 7 Amp 1/2"" Hammer Drill",W. R. Berkley Corporation,99.3
10005,Vim Products 12mm Triple Square Bit,Martin Marietta Materials,319.65
10006,Surebonder Ultra-mini Dual Temperature Glue Gun,General Electric Capital Corporation,168.24
10007,Makita Mklxt311fh 18 Volt Drill And Impact Kit,Cummins,976.95
10008,Retractable Screw-holder With Magnetic Tip,Cablevision Systems Corp,552.09
10009,"Dremel Mm501 1/16"" Grout Removal Blade",The Cheesecake Factoryorporated,103.36
10010,Powerbuilt Soldering Gun Kit,Dr Pepper Snapple Group,718.72
10011,Ingersoll Rand Impact 1/2,Land O'lakes,668.53
10012,Dewalt Power Tools 18 Volt Compact Lithium Ion Drill Driver & Impact Driver Comb,Henry Schein,221.31
10013,Ad Tech Hi-temp Project Pro Mini Size Glue Gun,Corningorporated,620.46
10014,Powryte Dual Action Air Sander,,
10015,Bostitch 18v Lithium Drill/impact Combo Kit,,
10016,Dremel 7700-1/15 7.2-volt Multipro Cordless Rotary Kit With 15 Accessories,Nustar Energy,491.71
10017,Surebonder Wide Crown Pneumatic Stapler,Bnsf Railway Company,18.18
10018,Buffalo Tools 19 Piece Hole Saw Set,Ross Stores,992.27
10019,Primefit 1-gallon,,
10020,Lumberjack Tools Hsbk1 Home Series Beginners Kit,Lennar Corporation,468.74
10021,"Bosch 6335-01 7 Amp 1/2"" Corded Drill",Comcast Corporation,58.5
10022,Dremel Multi-max Mm40 Tool Kit,,
10023,"Bostitch .5"" Vsr 2-speed Hammerdrill/drill And Bonus 5-piece Masonry Set Bundle",Mgm Resorts International,945.28
10024,Campbell Hausfeld Brad Nailer And Stapler,Con-way,514.6
10025,Ingersoll Rand 705-93 Trigger,Hawaiian Electric Industries,152.86
10026,Crawford Storehorse Folding Sawhorse,Pinnacle West Capital Corporation,801.23
10027,Bostitch Gravity Feed Spray Air Gun,,
10028,Black & Decker 1/4 Sheet Finisher Sander,,
10029,Skil 360 Quick-select 4v Max 1.5ah Lithium-ion Screwdriver,,
10030,Dremel Universal Carbide Flush Cut Blade,,
10031,Black & Decker 20-volt Matrix Drill,,
10032,Stack-on Steel Diy Workbench So-382b,Bio-rad Laboratories,285.51
10033,Got Air Heavy Duty Portable Air Compressor,,
10034,Wagner Ht3500 Heat Gun,The Bank Of New York Mellon Corporation,767.13
10035,Stanley Fatmax 7a Hammer Drill,,
10036,Surebonder Mini Dual Temperature Glue Gun,Sealed Air Corporation,514.07
10037,Gmc Power Equipment 1.6 Gallon Gmc Syclone 1610a Ultra Quiet And Oil-free Air Compressor,Kelly Services,904.37
10038,"Hitachi 8 1/2"" Sliding Compound Miter Saw With Laser Marker & Led Light",Benchmark Electronics,928.05
10039,Pro-lift I-4506 6in Buffer / Polisher,Lpl Financial,453.94
10040,Hitachi 18-volt Lithium-ion Cordless Impact Driver,,
10041,Numax 18 Gauge 2 In 1 Brad Nailer & Stapler,At&t,352.89
10042,Ingersoll Rand 0.5 Port Ptfe Diaphragm Pump With Polypropylene Seat,Group,304.27
10043,Stanley Black & Decker Dw304pk Dw 10 Amp Reciprocating Saw Kit,Schnitzer Steel Industries,595.26
10044,California Air Tools 1.6 Gallon Ultra Quiet And Oil-free 1.0 Hp Aluminum Tank Air Compressor,American Tower Corporation,371.24
10045,Masterflow 12v 3-in-1 Turbo-boost Air Compressor / Inflator / Deflator,Office Depot,165.32
10046,Bosch Power Tools 29 Piece High Speed Steel Drill Set With Metal Case 96029,Hospira,705.32
10047,Atd Tools Atd-10836 3. 6-volt Cordless Rechargeable Screwdriver Kit,Yum! Brands,876.15
10048,Black And Decker Dwdcd780c2 20v Max Lithium Ion Compact Drill Driver Kit,Amerisourcebergen,631.07
10049,Buffalo Tools 4.8v Cordless Screwdriver,Emerson Electric Company,685.08
10050,California Air Tools 5 Gallon Pressure Pot With Hvlp Spray Gun And Hose,Rescare,79.18
10051,Hopkins-f3 Brands 90158 Workbench Kit,Jack In The Box,915.12
10052,Black And Decker Pivot Screwdriver,,
10053,Rotozip Ss355-10 Rotosaw,The Scotts Company,
10054,Hitachi Power Tools Db3dl2 3.6-volt Lithium Ion Dual Position Handle Screwdriver,Mckesson Corporation,810.48
10055,Dewalt Power Tools . 38inch Heavy-duty Vsr Pistol Grip Drill With Keyless Chuck Dwd,Avon Products,99.52
10056,Ingersoll Rand Start Up Kit # 32305880,Amphenol Corporation,561.15
10057,Durofix-ac Delco Power Tools Dearm602-4 . 5 Inch Digital Torque Measuring Adaptor,Graham Packaging Company,820.63
10058,Western Enterprises 1/4 Npt X 3 Long Male Brass Regulator Nipple Cga 540,Cigna Corporation,824.26
10059,Great Neck 4.8v Cordless Screwdriver,,
10060,Pentagon Professional Aluminum Drywall Bench,Thrivent Financial For Lutherans,224.61
10061,Lumberjack Tools Tta2000 2in Industrail Series Tenon Cutter,Interpublic Group Of Companies,800.34
10062,Hanson #8 Torx Bit,Mckesson Specialty Health,929.89
10063,Dremel Multi-vise,,
10064,Weller Bp645mp Battery Powered Soldering Iron Kit,Carmax,649.99
10065,"Dremel Sm520 3"" Masonry Cut-off Wheel",Moog,279.05
10066,Black & Decker 2.4v Direct Plug Screwdriver,,
10067,Freud 12 44t Diablo General Purpose Chop/slide Miter Saw Blade D1244x,Bristol Myers Squibb Company,168.88
10068,Bosch 94500 Rip Fence Jigsaw,Staples Financial,993.33
10069,"Black & Decker 7-1/4"" 15-amp Circular Saw",,
10070,Rockwell Shopseries 12-volt Cordless Drill/driver Kit,Northern Trust Corporation,981.67
10071,"Bostitch 6.5 Amp 3/8"" Drill",,
10072,Campbell Hausfeld Gravity-feed Spray Gun With Grab N Go Case,Visa,724.75
10073,Hot Glue Gun Helpers Kit-7 Pieces,Corrections Corporation Of America,830.94
10074,"Black & Decker 5.2 Amp 3/8"" Drill And Driver With Storage Bag",,
10075,Edsal Heavy-duty Steel Workbench,,
10076,Jgb Enterprises 001-0121-050i Eagle Air 300 No. Red Jackhammer Hose Cpld Chicago Fittings Crimped,Firstenergy Corp,874.99
10077,"Skil 7-1/4"" 150-tooth Steel Circular Saw Blade",,
10078,Lincoln Industrial Grease Gun Pistol 16 0z W/18whip Hose &rigid Pipe,Nstar Gas & Electric Company,834.99
10079,Bostitch Prozhoze,,
10080,Titan 16048 48 Piece Quick-disconnect Drill And Power Bit Set With Portable Bit Cases,Ugi Corporation,191.29
10081,Kd Tools Engraver Electric Vibro,Global Payments,289.8
10082,Skil Fixed Base Routers - 1 3/4 Hp Fixed Base Router 9 Amp Motor,Cliffs Natural Resources,668.42
10083,Paasche Air Brush Dual Action Airbrush Set,Nv Energy,780.13
10084,Microflex Mxbd-1000-pf Black Dragon X-small Latex Fully Textured Gloves,Sunrise Senior Living,566.78
10085,Hitachi 18v Lithium-ion Cordless Impact Driver W/120-pc Drill/drive Set,Mortgage Guaranty Insurance Corporation,870.1
10086,Hyundai Hpc3010 Air Compressor Kit,Exterran Holdings,509.13
10087,Dremel Ez Lock Starter Kit,Rite Aid Corporation,643.9
10088,Legacy Manufacturing Leghfz3850yw2 Flexzilla 3/8in X 50yd Yellow Air Hose With 1/4 Inch Mnpt Ends,Zimmer Holdings,80.58
10089,Bostitch 100 Ft Air Compressor Hose Prozhoze,,
10090,"Powryte 3/8"" Air Impact Wrench",,
10091,Ad Tech 2-temp Full Size Cordless Glue Gun,Microsoft Corporation,388.49
10092,Chicago Power Tools Power Drill Accessory Set,,
10093,Rubbermaid Wall Washer Replacement Pads,,
10094,Dewalt Dcf610s2r Drills / Drivers ,,
10095,Vermont American 5 15 Tpi Multi Purpose Pinned End Scroll Jig Saw Blade 30408,Precision Castparts Corp,82.04
10096,"Hitachi 18v 1/2"" Cordless Drill/driver Kit W/35-pc Hi-torq Impact Rated Torsion Bit Set",American Family Insurance,610.22
10097,Black & Decker 3-speed Rtx Rotary Tool With Bonus Spring Clamps,,
10098,Weller Sp23lk General Duty Soldering Iron Kit,Lithia Motors,388.52
10099,Skil Sb18c Sb18a 18v Ni-cd Battery,Lincoln Electric Company,376.96
10100,Hitachi 18v Lithium-ion Combo Kit With 2 Canvas Bags,Catalent Pharma Solutions,563.54
10101,Blair 11108-3 11000 Series Rotobroach Cutters - 3/8-inch - 3-pack,The Blackstone Group,981.25
10102,Irwin 5-3/8 24t Marathon Cordless Circular Saw Blade,Zimmer Holdings,871.69
10103,"Bostitch 18v Lithium 1/2"" Drill/driver Kit",,
10104,Powryte Air Reciprocating Saw,,
10105,"Great Neck Saw Ra14 1/4"" Drive Forward And Reverse Ratchet",Aleris International,267.23
10106,Proxxon Engraving Tool,Cooper Standard,275.01
10107,"Campbell Hausfeld 1-1/4"" Brad Nails",Fossil,857.22
10108,Blazer Products 189-2072 Clear Pocket Torch Pb207 Black,Quiksilver,163.05
10109,Titan Professional Workbench,Spartan Stores,823.57
10110,Bostitch Air Tool Inline Lubricator,,
10111,Worx Semi Automatic Sd Driver,,
10112,Hitachi 35 Piece Hi-torq Impact Rated Torsion Bit Set,Graham Packaging Company,453.37
10113,"Bostitch 3/8"" Air Ratchet",,
10114,"Black & Decker 16"" 3.4 Amp Powered Handsaw With Storage Bag",,
10115,Lincoln Industrial Grease Gun Cordless With Case,,
10116,Bostitch Air Compressor Blowgun,,
10117,Speare Tools Adjustable Quick-cutter Hole Saw,,
10118,"Hitachi 3 1/2"" Full-head Plastic Collated Framing Strip Nailer",Werner Enterprises,10.44
10119,Mayhew Tools Mayhew Tools - Catspaw Deck Wrecker Cats Paw Deck Wrecker: 479-41104 - Cats Paw Deck Wr,Henry Schein,491.2
10120,"Porter Cable-piece15cslk 7-1/4"" 15-amp Circular Saw",Avery Dennison Corporation,116.4
10121,"Campbell Hausfeld 1/2"" Pneumatic Socket Set",Omnicom Group,748.05
10122,Weller Analog Soldering Station,,
10123,Hitachi 4 Gallon Twin Stack Air Compressor,The Scotts Miracle-gro Company,520.95
